Antiviral,Linfocitos T/uL
23.200000000000003,4142.680149737484
23.3,4139.481676756309
23.400000000000002,4136.283380498649
23.5,4133.0852670212935
23.6,4129.887342385033
23.700000000000003,4126.689612654546
23.8,4123.492083898412
23.900000000000002,4120.294762189031
24.0,4117.097653602591
24.099999999999998,4113.900764219018
24.2,4110.704100121929
24.3,4107.507667398599
24.4,4104.311472139881
24.5,4101.115520440209
24.6,4097.919818397507
24.7,4094.724372113173
24.8,4091.529187692007
24.9,4088.3342712421895
25.0,4085.139628875219
25.1,4081.9452667058636
25.2,4078.7511908521346
25.3,4075.5574074352057
25.4,4072.363922579389
25.5,4069.1707424120896
25.6,4065.977873063751
25.7,4062.7853206678005
25.8,4059.5930913606117
25.900000000000002,4056.4011912814553
26.0,4053.2096265724526
26.1,4050.0184033785167
26.200000000000003,4046.827527847317
26.3,4043.637006129233
26.400000000000002,4040.446844377286
26.5,4037.2570487471166
26.6,4034.0676253969127
26.700000000000003,4030.8785804873914
26.8,4027.689920181701
26.900000000000002,4024.5016506454313
27.0,4021.3137780465245
27.1,4018.1263085552273
27.200000000000003,4014.9392483440706
27.3,4011.752603587787
27.400000000000002,4008.5663804632877
27.500000000000004,4005.3805851495918
27.6,4002.195223827794
27.700000000000003,3999.010302681011
27.800000000000004,3995.825827894311
27.900000000000002,3992.641805654711
28.000000000000004,3989.458242151068
28.1,3986.2751435740774
28.200000000000003,3983.0925161162036
28.300000000000004,3979.9103659716284
28.400000000000002,3976.7286993362018
28.500000000000004,3973.5475224073966
28.6,3970.366841384255
28.700000000000003,3967.186662467333
28.800000000000004,3964.0069918586705
28.9,3960.8278357617055
28.999999999999996,3957.649200381262
29.099999999999998,3954.4710919234644
29.2,3951.2935165957233
29.299999999999997,3948.1164806066436
29.4,3944.939990166016
29.5,3941.7640514847244
29.599999999999998,3938.588670774728
29.7,3935.4138542490005
29.799999999999997,3932.239608121458
29.9,3929.065938606952
30.0,3925.8928519211645
30.099999999999998,3922.7203542806074
30.2,3919.5484519025317
30.3,3916.377151004895
30.4,3913.2064578063137
30.5,3910.036378525996
30.599999999999998,3906.866919383702
30.7,3903.6980865996843
30.8,3900.5298863946473
30.9,3897.362324989688
31.0,3894.1954086062365
31.1,3891.0291434660103
31.2,3887.8635357909775
31.3,3884.6985918032806
31.4,3881.5343177251934
31.5,3878.370719779065
31.6,3875.207804187284
31.7,3872.045577172219
31.8,3868.884044956137
31.900000000000002,3865.7232137611913
32.0,3862.5630898093564
32.1,3859.403679322361
32.2,3856.2449885216515
32.300000000000004,3853.087023628334
32.4,3849.9297908631274
32.5,3846.7732964462925
32.6,3843.617546597594
32.7,3840.4625475362527
32.800000000000004,3837.3083054808826
32.9,3834.154826649437
33.0,3831.002117259153
33.1,3827.8501835265142
33.2,3824.6990316671895
33.300000000000004,3821.548667895963
33.4,3818.3990984267134
33.5,3815.250329472323
33.6,3812.1023672446677
33.7,3808.955217954523
33.800000000000004,3805.808887811537
33.900000000000006,3802.6633830241626
34.0,3799.518709799605
34.1,3796.3748743437955
34.2,3793.231882861285
34.300000000000004,3790.089741555253
34.400000000000006,3786.94845662739
34.5,3783.808034277902
34.6,3780.6684807054116
34.7,3777.5298021069407
34.800000000000004,3774.3920046778244
34.900000000000006,3771.255094611688
35.0,3768.1190781003647
35.1,3764.983961333864
35.199999999999996,3761.8497505003033
35.3,3758.716451785872
35.4,3755.5840713747507
